feature,liked_count,liked_pct,baseline_pct,lift
Family ties,5,83.33333333333334,35.707972423546046,2.333745874587459
Genre: Drama,5,83.33333333333334,54.53420540922751,1.5280929227444624
Money / class,4,66.66666666666666,7.9370691179070185,8.399406087602078
Crime / illicit enterprise,4,66.66666666666666,11.331094219550998,5.8835153406136245
Genre: Crime,4,66.66666666666666,15.591302810677037,4.27588813303099
Danger / survival,4,66.66666666666666,21.05356195863532,3.166526728239574
Genre: Adventure,3,50.0,7.981262153084674,6.264673311184938
Power / ambition,3,50.0,12.807141594484708,3.9040717736369914
Genre: Thriller,2,33.33333333333333,8.449708325967828,3.944909344490934
Adventure / quest,2,33.33333333333333,11.12780625773378,2.995499073338628
Deception / secrets,2,33.33333333333333,13.461198515114017,2.47625300941125
Friendship / youth,2,33.33333333333333,19.321194979671205,1.7252211039951202
Genre: Legal,1,16.666666666666664,1.3788226975428672,12.087606837606836
Genre: Fantasy,1,16.666666666666664,3.9685345589535093,4.199703043801039
Genre: Mystery,1,16.666666666666664,6.416828707795652,2.597337006427915
Genre: Action,1,16.666666666666664,10.45607212303341,1.5939701324316708
Law / investigation,1,16.666666666666664,17.686052678097933,0.9423621522572047
Genre: Adult,0,0.0,0.265158211065936,0.0
Genre: Children,0,0.0,4.498850981085381,0.0
Genre: Comedy,0,0.0,39.862117730245714,0.0
Genre: Espionage,0,0.0,0.9368923457663072,0.0
Genre: Family,0,0.0,5.7362559660597485,0.0
Genre: Food,0,0.0,0.1502563196040304,0.0
Genre: History,0,0.0,2.916740321725296,0.0
Genre: Horror,0,0.0,3.3321548523952624,0.0
Genre: Medical,0,0.0,1.5467562312179601,0.0
Genre: Music,0,0.0,1.661658122679866,0.0
Genre: Nature,0,0.0,0.0972246773908432,0.0
Genre: Romance,0,0.0,6.628955276648401,0.0
Genre: Science-Fiction,0,0.0,7.495138766130458,0.0
Genre: Sports,0,0.0,1.0429556301926817,0.0
Genre: Supernatural,0,0.0,2.245006187024925,0.0
Genre: Travel,0,0.0,0.0618702492487184,0.0
Genre: War,0,0.0,1.5114018030758352,0.0
Genre: Western,0,0.0,1.8561074774615522,0.0
Romance,0,0.0,11.799540392434151,0.0
Supernatural / fantasy,0,0.0,5.409227505745095,0.0
Humor,0,0.0,15.114018030758352,0.0
