,rating,runtime,year,summary_words,genre_count,theme_count
rating,1.0,0.28530711796337177,-0.4574578716534741,0.025524216621446275,0.16853073666758048,0.0013969498881866126
runtime,0.28530711796337177,1.0,-0.09687710308010501,0.12498139203958228,0.2902712596098907,0.148585732834028
year,-0.4574578716534741,-0.09687710308010501,1.0,0.0808614617213996,0.10928265918261391,0.13484987668136877
summary_words,0.025524216621446275,0.12498139203958228,0.0808614617213996,1.0,0.0991599761242145,0.47623713281763486
genre_count,0.16853073666758048,0.2902712596098907,0.10928265918261391,0.0991599761242145,1.0,0.16334448450119976
theme_count,0.0013969498881866126,0.148585732834028,0.13484987668136877,0.47623713281763486,0.16334448450119976,1.0
